,date,total_rows
0,12-29-12,28427
1,12-30-12,29160
2,12-31-12,28964
3,01-02-13,29590
4,01-03-13,29829
5,01-04-13,28803
6,01-01-13,28371
7,01-05-13,29033
8,01-06-13,29252
9,01-07-13,30964
10,01-09-13,30034
11,01-10-13,30276
12,01-11-13,30063
13,01-08-13,31321
14,01-12-13,29530
15,01-13-13,29191
16,01-14-13,30566
17,01-16-13,30261
18,01-18-13,30480
19,01-17-13,34154
20,01-15-13,31146
21,01-19-13,30737
22,01-20-13,29194
23,01-21-13,31788
24,01-23-13,29902
25,01-24-13,30044
26,01-25-13,29905
27,01-22-13,30563
28,01-26-13,28958
29,01-27-13,29707
30,01-28-13,36176
31,01-30-13,36729
32,01-31-13,33873
33,02-01-13,30591
34,01-29-13,33174
35,02-02-13,29781
36,02-03-13,29756
37,02-04-13,31228
38,02-05-13,31011
39,02-07-13,31156
40,02-08-13,30244
41,02-06-13,35090
42,02-09-13,28823
43,02-10-13,28931
44,02-11-13,35744
45,02-13-13,32549
46,02-15-13,34526
47,02-14-13,31896
48,02-12-13,33197
49,02-16-13,29755
50,02-17-13,30772
51,02-18-13,30530
52,02-20-13,30893
53,02-21-13,31217
54,02-22-13,32005
55,02-19-13,31816
56,02-23-13,34102
57,02-24-13,32600
58,02-25-13,32692
59,02-27-13,33249
60,02-28-13,36227
61,03-01-13,31444
62,02-26-13,32218
63,03-02-13,30018
64,03-03-13,29945
65,03-04-13,31629
66,03-06-13,31401
67,03-07-13,31794
68,03-08-13,31540
69,03-05-13,31492
70,03-09-13,30021
71,03-10-13,27675
72,03-11-13,31239
73,03-13-13,32046
74,03-14-13,32720
75,03-15-13,30993
76,03-12-13,31538
77,03-16-13,29255
78,03-17-13,29499
79,03-18-13,32926
80,03-20-13,31825
81,03-21-13,36659
82,03-22-13,43552
83,03-19-13,33050
84,03-23-13,29871
85,03-24-13,29705
86,03-25-13,30830
87,03-26-13,35028
88,03-27-13,31964
89,03-28-13,33805
90,03-29-13,32388
91,03-30-13,29418
92,03-31-13,30056
93,04-01-13,35462
94,04-03-13,31493
95,04-04-13,35522
96,04-05-13,38669
97,04-02-13,31819
98,04-06-13,30601
99,04-07-13,31601
100,04-08-13,33612
101,04-10-13,31704
102,04-11-13,31605
103,04-12-13,30644
104,04-09-13,32568
