,date,id_station,min_entre,max_entre,min_exit,max_exit,station_t,remote_unit,c/a,total_entries,total_exits,sanity_check,weird_value_check,month
26506,2013-01-01,N067_R012_00-05-00,441226.0,441549.0,6019101.0,6021627.0,N067_R012,R012,N067,323.0,2526.0,False,False,1
26505,2013-01-01,N067_R012_00-03-02,13599369.0,13601072.0,3571138.0,3571293.0,N067_R012,R012,N067,1703.0,155.0,False,False,1
29585,2013-01-01,R138_R293_00-03-05,15587996.0,15589209.0,15126899.0,15128642.0,R138_R293,R293,R138,1213.0,1743.0,False,False,1
29584,2013-01-01,R138_R293_00-03-04,100191.0,100384.0,763091.0,764643.0,R138_R293,R293,R138,193.0,1552.0,False,False,1
29583,2013-01-01,R138_R293_00-03-03,5923554.0,5925292.0,3829374.0,3830188.0,R138_R293,R293,R138,1738.0,814.0,False,False,1
29582,2013-01-01,R138_R293_00-03-02,3347030.0,3348872.0,1554296.0,1554993.0,R138_R293,R293,R138,1842.0,697.0,False,False,1
29581,2013-01-01,R138_R293_00-03-01,19409507.0,19409507.0,7624183.0,7625035.0,R138_R293,R293,R138,0.0,852.0,False,False,1
29580,2013-01-01,R138_R293_00-03-00,14662535.0,14663999.0,4568730.0,4569230.0,R138_R293,R293,R138,1464.0,500.0,False,False,1
29579,2013-01-01,R138_R293_00-00-04,11245162.0,11246821.0,5118064.0,5118938.0,R138_R293,R293,R138,1659.0,874.0,False,False,1
29578,2013-01-01,R138_R293_00-00-03,14521406.0,14523231.0,7608388.0,7609350.0,R138_R293,R293,R138,1825.0,962.0,False,False,1
29577,2013-01-01,R138_R293_00-00-02,13284960.0,13286807.0,7034076.0,7035161.0,R138_R293,R293,R138,1847.0,1085.0,False,False,1
29576,2013-01-01,R138_R293_00-00-01,357240.0,358944.0,232445.0,233544.0,R138_R293,R293,R138,1704.0,1099.0,False,False,1
29575,2013-01-01,R138_R293_00-00-00,896048.0,897551.0,548671.0,549807.0,R138_R293,R293,R138,1503.0,1136.0,False,False,1
29586,2013-01-01,R138_R293_00-03-06,13206163.0,13207504.0,17207992.0,17210145.0,R138_R293,R293,R138,1341.0,2153.0,False,False,1
29587,2013-01-01,R138_R293_00-05-00,1061.0,1063.0,0.0,0.0,R138_R293,R293,R138,2.0,0.0,False,False,1
29589,2013-01-01,R138_R293_00-06-00,2371704.0,2373019.0,2444112.0,2445641.0,R138_R293,R293,R138,1315.0,1529.0,False,False,1
29607,2013-01-01,R142_R293_01-06-01,3882016.0,3882609.0,8164662.0,8165844.0,R142_R293,R293,R142,593.0,1182.0,False,False,1
29606,2013-01-01,R142_R293_01-06-00,805389.0,805423.0,2399570.0,2399821.0,R142_R293,R293,R142,34.0,251.0,False,False,1
29588,2013-01-01,R138_R293_00-05-01,0.0,0.0,650.0,650.0,R138_R293,R293,R138,0.0,0.0,False,False,1
29605,2013-01-01,R142_R293_01-00-03,5326530.0,5327262.0,13958213.0,13959790.0,R142_R293,R293,R142,732.0,1577.0,False,False,1
29603,2013-01-01,R142_R293_01-00-01,8607640.0,8608699.0,5800812.0,5801435.0,R142_R293,R293,R142,1059.0,623.0,False,False,1
